No,Nama ATK,Jumlah,Satuan
1,EPSON 003 - BIRU,56,BOTOL
2,EPSON 003 - MAGENTA,60,BOTOL
3,EPSON 003 - BLACK,62,BOTOL
4,EPSON 003 - KUNING,55,BOTOL
5,TINTA EPSON 664 - BLACK,11,BOTOL
6,TINTA EPSON 664 - BIRU,2,BOTOL
7,TINTA EPSON 664 - KUNING,3,BOTOL
8,TINTA EPSON 664 - MAGENTA,5,BOTOL
9,TINTA HP GT52 - BIRU,5,BOTOL
10,TINTA HP GT52 - KUNING,5,BOTOL
11,TINTA HP GT52 - MAGENTA,5,BOTOL
12,TINTA HP GT53 - BLACK,3,BOTOL
13,KERTAS A4,78,RIM
14,KERTAS 3PLAY,33,PACK
15,KERTAS STIKER,34,PACK
16,KERTAS KOP,171,LEMBAR
17,DOCUMENTARI,11,PCS
18,AMPLOP COKLAT BIASA,28,PACK
19,MAP KOP,7,PACK
20,AMPLOP POLOS,329,KOTAK
21,AMPLOP POLOS KECIL,38,KOTAK
22,AMPLOP KOP,60,KOTAK
23,GUNTING,9,KOTAK
24,BATERAI A2,4,KOTAK
25,BATERAI A3,9,KOTAK
26,PAPER CLIP NO. 3,10,KOTAK KECIL
27,LEM POVINAL,2,KOTAK
28,TIPE X KENKO,2,KOTAK
29,CORRECTION TAPE,1,KOTAK
30,PENGHAPUS PAPAN,8,PCS
31,LAKBAN BENING KECIL,2,KOTAK
32,DOUBLE TAPE,22,PCS
33,DOUBLE TAPE PUTIH,5,PCS
34,DOUBLE TAPE PUTIH KECIL,6,PCS
35,TRIGONAL CLIP,6,PCS
36,NAME PLAT,4,PCS
37,SIM HOLDER,5,PCS
38,PENGGARIS,5,PCS
39,PENGKEROK PENSIL,4,PCS
40,PENSIL 2B,1,KOTAK
41,SPIDOL FASTER,1,KOTAK
42,TRANSFER FILM,14,PCS
43,CARTRIDGE NB0A PACK,9,PACK
44,CARTRIDGE NB0A KECIL 8758,10,PCS
45,KERTAS JILID BENING,61,PACK
46,KERTAS BUFALO,44,PACK
47,KWITANSI,120,BUKU
48,BANTEX,22,PCS
49,LASERJET 85A,18,PCS
50,CARTRIDGE CE31A,14,PCS
51,LASER 107,41,PCS
52,PULPEN JOYKO,4,KOTAK BESAR
53,SNOWMAN,6,LUSIN
54,FASTER,23,LUSIN
55,SNOWMAN MAKER - BLACK,8,PCS
56,SNOWMAN MAKER - BLUE,5,PCS
57,SNOWMAN MAKER - RED,1,PCS
58,ARTLINE,2,PCS
59,PAPER CLIPS,1,KOTAK (9 BUAH)
60,GLUE STICK,11,PCS
61,CUTTER,11,KOTAK
62,LAKBAN HITAM,69,ROLL
63,LAKBAN COKLAT,17,ROLL
64,LAKBAN BENING,12,ROLL
65,BINDER CLIPS - 155,11,KOTAK
66,BINDER CLIPS - 200,6,KOTAK
67,BINDER CLIPS - 111,7,KOTAK
68,BINDER CLIPS - 260,8,KOTAK
69,TABLE TOP PEN,15,KOTAK
70,STAPLER - HD 50,4,KOTAK
71,STAPLER - HD 10,10,KOTAK
72,ISI STAPLER - 3 - 1M,19,KOTAK
73,ISI STAPLER - 10 - 1M,33,KOTAK
74,ISI STAPLER - 10,5,KOTAK
75,REMOVER 10,2,KOTAK
76,PUNCH,12,KOTAK
77,GUN TACKER,1,PCS
78,BALINER - HT,41,KOTAK
79,STAMPEL PAD BIRU,1,PCS
80,STAMPEL PAD HIJAU,3,PCS
